TCGA-X2-A95T
TCGA-3B-A9I1
TCGA-DX-AB2L
TCGA-QC-A6FX
TCGA-DX-AB36
TCGA-IE-A6BZ
TCGA-LI-A67I
TCGA-DX-A23Z
TCGA-DX-A6YS
TCGA-DX-A8BL
TCGA-IS-A3K6
TCGA-MB-A8JL
TCGA-WK-A8XY
TCGA-FX-A3RE
TCGA-QQ-A5VC
TCGA-DX-A8BG
TCGA-DX-A3LT
TCGA-DX-A48R
TCGA-DX-A3UC
TCGA-DX-A1L4
TCGA-IW-A3M5
TCGA-DX-A6YU
TCGA-DX-A6BA
TCGA-IE-A4EJ
TCGA-MB-A8JK
TCGA-X6-A7WD
TCGA-DX-AB3B
TCGA-HS-A5N7
TCGA-DX-AB2Q
TCGA-DX-A3U7
TCGA-DX-A48J
TCGA-3B-A9HR
TCGA-QQ-A5VB
TCGA-DX-A6YV
TCGA-WK-A8XT
TCGA-DX-A2IZ
TCGA-3R-A8YX
TCGA-DX-A6B8
TCGA-SI-A71Q
TCGA-LI-A9QH
TCGA-X6-A8C7
TCGA-3B-A9HX
TCGA-HS-A5N9
TCGA-DX-A48P
TCGA-VT-A80J
TCGA-HB-A2OT
TCGA-3B-A9HL
TCGA-VT-A80G
TCGA-DX-A7EO
TCGA-DX-A48L
TCGA-DX-A6YZ
TCGA-FX-A3TO
TCGA-X6-A7W8
TCGA-3B-A9I0
TCGA-DX-A7EN
TCGA-DX-A1KU
TCGA-DX-AB37
TCGA-DX-A1L3
TCGA-FX-A76Y
TCGA-N1-A6IA
TCGA-DX-A6BF
TCGA-SI-A71P
TCGA-FX-A3NK
TCGA-FX-A3NJ
TCGA-WK-A8XQ
TCGA-DX-A2J1
TCGA-MB-A5Y8
TCGA-MB-A5YA
TCGA-X6-A7WC
TCGA-HS-A5NA
TCGA-DX-A8BU
TCGA-DX-A8BJ
TCGA-KD-A5QS
TCGA-DX-A1KZ
TCGA-K1-A6RU
TCGA-DX-A6BH
TCGA-DX-A48K
TCGA-IE-A4EI
TCGA-DX-A6YT
TCGA-DX-A2J4
TCGA-DX-A6BK
TCGA-DX-A3U8
TCGA-DX-A3UB
TCGA-PC-A5DP
TCGA-DX-A7EI
TCGA-DX-A1L0
TCGA-Z4-A9VC
TCGA-DX-AB2H
TCGA-DX-A3UD
TCGA-X6-A8C6
TCGA-K1-A42W
TCGA-DX-A23V
TCGA-QQ-A8VF
TCGA-KF-A41W
TCGA-IF-A3RQ
TCGA-DX-AB35
TCGA-PC-A5DN
TCGA-DX-A8BR
TCGA-Z4-AAPF
TCGA-IE-A4EH
TCGA-Z4-A8JB
TCGA-IS-A3KA
TCGA-DX-A3U6
TCGA-DX-AB2X
TCGA-DX-A1L2
TCGA-DX-A6BG
TCGA-DX-AB30
TCGA-DX-A23U
TCGA-PC-A5DO
TCGA-QQ-A5V9
TCGA-QQ-A8VH
TCGA-VT-AB3D
TCGA-X9-A973
TCGA-DX-A1KX
TCGA-DX-A6YX
TCGA-DX-A6YR
TCGA-DX-A8BS
